Newfoundland,St. John's,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,3 bathrooms,"2,000","$719,900.00"
Ontario,Toronto (GTA),Markham / York Region,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,4 bathrooms,"2,000","$948,000.00"
Prince Edward Island,Prince Edward Island,Summerside,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,991","$499,900.00"
British Columbia,Nanaimo,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,3 bathrooms,"1,990","$529,900.00"
British Columbia,Peace River Area,Dawson Creek,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,2 bathrooms,"1,980","$209,999.00"
Ontario,Toronto (GTA),City of Toronto,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,3 bathrooms,"1,961","$929,000.00"
Territories,Yukon,Whitehorse,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,3 bathrooms,"1,946","$429,000.00"
Saskatchewan,Regina Area,Regina,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,3 bathrooms,"1,930","$1,070,000.00"
British Columbia,Kamloops,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,3 bathrooms,"1,911","$539,900.00"
Ontario,Barrie,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,3 bathrooms,"1,900","$630,000.00"
Ontario,Barrie,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,3 bathrooms,"1,900","$630,000.00"
Prince Edward Island,Prince Edward Island,Summerside,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,3 bathrooms,"1,895","$599,000.00"
Ontario,Brockville,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,863","$399,000.00"
Ontario,Brockville,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,863","$399,000.00"
Ontario,Brockville,Brockville,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,1 bathrooms,"1,863","$399,000.00"
Ontario,Brockville,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,863","$399,000.00"
Manitoba,Winnipeg,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,850","$669,900.00"
Ontario,Woodstock,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,3 bathrooms,"1,849","$549,900.00"
Ontario,Woodstock,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,3 bathrooms,"1,849","$549,900.00"
